commit	date	subject	tags	groups	file_count
a16b9e0f1c2a8b2801e14cdd10857615327e96c0	2020-10-25	(Jovial) Fixed moving enum variables between blocks	area:src;drop:frontend-other;src:frontend;src:frontend:sage	src/frontend/OTHER;src/frontend/SageIII	2
6cfa4a34e349fe4daf28c0aee8e21589dc566dae	2020-10-25	(Jovial) Implemented status items/variables	area:src;area:tests;drop:frontend-other;src:backend:unparser;src:frontend;src:frontend:sage	src/backend/unparser;src/frontend/OTHER;src/frontend/SageIII;tests	7
69624cd30108418a7fff64270212cda8b45d46a3	2020-10-25	(Jovial) Added regression test to close issue	area:tests	tests	2
c6d4da133f0eac2a237d9e7840bfcd797fb42731	2020-10-24	(Jovial) Added creation of alias symbols for all data declarations	area:src;area:tests;drop:frontend-other;src:frontend	src/frontend/OTHER;tests	3
23f28c63161b197090607f130625254281f52859	2020-10-24	(CFG) Added legacy::PRE	area:tutorial	tutorial	1
2572dd10c05b0728a5c1d0f1a6978dc02b6987ef	2020-10-24	(Jovial) Added regression test to close issue	area:tests	tests	2
65da2e5d8e3da21faeb0faa3bb8b7180609f8862	2020-10-24	(Release) Incremented version to 0.11.4.26	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
c619aac3e8dffae4bfd55cea210ed00a261317d8	2020-10-24	Merge commit 'c4dfebefc9d28a2bfd11ff18b80425ce56c01d27' into HEAD			0
02ea9bf93fa08ecbd8f2916264bc666d38110447	2020-10-24	(Release) Incremented version to 0.11.4.25	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
e0797c5dbbd8909843129d549a84fc2afa3da2a5	2020-10-23	Merge commit '9cf71a7b7a1af29b1a64e086d205e356bb895ac2' into HEAD			0
06b324588be3b1e57f958972de2d9492a70cb450	2020-10-23	(Release) Incremented version to 0.11.4.24	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
c4dfebefc9d28a2bfd11ff18b80425ce56c01d27	2020-10-23	(Jovial) Added regression test to close issue	area:tests	tests	2
02856b2c21c5dceb29dacb507faf2fbb7821067f	2020-10-23	Merge branch 'master' of rosecompiler1.llnl.gov:rose/scratch/rose			0
afe274ff364691d9f6da44c516f5d7d4b159026c	2020-10-23	Merge commit '6f9389cb9c2633d8b8e036eb891d2930c3646298' into HEAD			0
c9e6ecc6127a34bff7e4bab3802e84f7ec4c4053	2020-10-23	Merge branch 'master' into leek2/ada-dev			0
f1f2e9965130823a7a3c7adbc0933fb55eba122e	2020-10-23	(Ada Frontend) tasks and proceedures work	area:src;area:tests;drop:frontend-other;src:frontend	src/frontend/OTHER;tests	3
722e6a22de132aaa862f29a8525a5359b8f817e1	2020-10-23	(Release) Incremented version to 0.11.4.23	area:cmake;area:src;drop:frontend-other;inventory:autotools;src:frontend	autotools;src/frontend/OTHER;topfiles	4
66334844319074642c0e7d0007b0bed3719065ad	2020-10-23	Merge remote-tracking branch 'origin/master' into HEAD			0
51c12b952edf8eb6e5e196eef6752f026a72e426	2020-10-23	(Clang Support) Removed -ltinfo requirement for compiling with Clang frontend.	area:src;area:tests;drop:frontend-other;inventory:autotools;src:frontend;src:frontend:sage	autotools;src/frontend/OTHER;src/frontend/SageIII;tests	4
476d9b6bb8344d957d91d7422efa8f1388876e14	2020-10-23	Merge commit '10b45ede48f5ed194d141f66f23d4077131e6308' into HEAD			0
9cf71a7b7a1af29b1a64e086d205e356bb895ac2	2020-10-23	(Ada) Restore .gitignore file in dot_asis	area:src;drop:frontend-other;src:frontend	src/frontend/OTHER	1
